LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
4m33s       Normal    Scheduled                 pod/alertmanager-prometheus-kube-prometheus-alertmanager-0         Successfully assigned default/alertmanager-prometheus-kube-prometheus-alertmanager-0 to my-cluster-worker
4m18s       Normal    Pulling                   pod/alertmanager-prometheus-kube-prometheus-alertmanager-0         Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.74.0"
4m34s       Normal    SuccessfulCreate          statefulset/alertmanager-prometheus-kube-prometheus-alertmanager   create Pod alertmanager-prometheus-kube-prometheus-alertmanager-0 in StatefulSet alertmanager-prometheus-kube-prometheus-alertmanager successful
36m         Normal    Starting                  node/my-cluster-control-plane                                      Starting kubelet.
36m         Normal    NodeHasSufficientMemory   node/my-cluster-control-plane                                      Node my-cluster-control-plane status is now: NodeHasSufficientMemory
36m         Normal    NodeHasNoDiskPressure     node/my-cluster-control-plane                                      Node my-cluster-control-plane status is now: NodeHasNoDiskPressure
36m         Normal    NodeHasSufficientPID      node/my-cluster-control-plane                                      Node my-cluster-control-plane status is now: NodeHasSufficientPID
36m         Normal    NodeAllocatableEnforced   node/my-cluster-control-plane                                      Updated Node Allocatable limit across pods
35m         Normal    Starting                  node/my-cluster-control-plane                                      Starting kubelet.
35m         Normal    NodeAllocatableEnforced   node/my-cluster-control-plane                                      Updated Node Allocatable limit across pods
35m         Normal    NodeHasSufficientMemory   node/my-cluster-control-plane                                      Node my-cluster-control-plane status is now: NodeHasSufficientMemory
35m         Normal    NodeHasNoDiskPressure     node/my-cluster-control-plane                                      Node my-cluster-control-plane status is now: NodeHasNoDiskPressure
35m         Normal    NodeHasSufficientPID      node/my-cluster-control-plane                                      Node my-cluster-control-plane status is now: NodeHasSufficientPID
35m         Normal    RegisteredNode            node/my-cluster-control-plane                                      Node my-cluster-control-plane event: Registered Node my-cluster-control-plane in Controller
35m         Normal    Starting                  node/my-cluster-control-plane                                      
35m         Normal    NodeReady                 node/my-cluster-control-plane                                      Node my-cluster-control-plane status is now: NodeReady
8s          Normal    RegisteredNode            node/my-cluster-control-plane                                      Node my-cluster-control-plane event: Registered Node my-cluster-control-plane in Controller
35m         Normal    NodeHasSufficientMemory   node/my-cluster-worker                                             Node my-cluster-worker status is now: NodeHasSufficientMemory
35m         Normal    NodeHasNoDiskPressure     node/my-cluster-worker                                             Node my-cluster-worker status is now: NodeHasNoDiskPressure
35m         Normal    NodeHasSufficientPID      node/my-cluster-worker                                             Node my-cluster-worker status is now: NodeHasSufficientPID
35m         Normal    RegisteredNode            node/my-cluster-worker                                             Node my-cluster-worker event: Registered Node my-cluster-worker in Controller
35m         Normal    Starting                  node/my-cluster-worker                                             Starting kubelet.
35m         Normal    NodeAllocatableEnforced   node/my-cluster-worker                                             Updated Node Allocatable limit across pods
35m         Normal    NodeHasSufficientMemory   node/my-cluster-worker                                             Node my-cluster-worker status is now: NodeHasSufficientMemory
